1_TA;255;1;40.2;-2;24;48;58;73
2_TA;255;1;37.8;-7;18;46;61;71
0_TA;251;1;3.8;-6;3;5;7;10
0_v;112;1;3.6;0;1;4;5;8
0_cs;16;1;2.8;0;4;4;4;2
0_i;48;1;2.6;1;3;1;3;5
2_i;176;1;2.6;-4;-2;6;8;5
0_TF;248;0;2.6;-2;0;1;7;7
0_v;240;1;2.2;0;2;3;3;3
2_c;5;1;2.2;1;2;2;1;5
1_p;96;0;2;-3;1;0;6;6
0_l;206;1;2;-4;1;1;5;7
0_c;254;1;1.8;-2;-1;2;4;6
1_l;128;1;1.8;-1;0;3;5;2
2_p;239;1;1.8;-1;-1;-1;6;6
0_au;176;0;1.8;0;2;2;3;2
0_v;216;1;1.6;0;-2;2;4;4
2_c;136;1;1.6;0;0;1;4;3
0_l;159;0;1.6;-2;2;3;4;1
1_i;64;0;1.6;0;1;2;3;2
0_c;252;1;1.6;0;1;2;3;2
0_ag;198;0;1.4;-5;-1;1;1;11
1_i;254;1;1.4;0;1;2;2;2
1_i;144;1;1.4;-3;0;3;2;5
1_i;30;0;1.4;-1;1;2;3;2
1_c;55;0;1.2;0;-1;2;2;3
0_c;60;1;1.2;0;-1;4;2;1
0_FG;231;1;1.2;0;1;2;1;2
1_c;56;1;1.2;0;1;2;2;1
0_ag;12;1;1.2;-1;0;4;0;3
1_cs;97;1;1.2;-1;1;1;3;2
1_v;126;0;1;-3;-1;2;3;4
0_ag;30;1;1;-2;1;3;1;2
0_c;49;1;1;0;0;2;1;2
2_al;248;1;1;-1;0;1;3;2
1_l;31;1;1;-1;1;1;2;2
1_bu;0;0;1;-1;0;2;2;2
1_RM;31;0;1;0;1;1;1;2
1_c;196;1;1;-3;-2;4;2;4
2_c;7;1;1;-1;1;2;1;2
2_c;127;1;1;0;0;1;2;2
2_c;96;0;1;-3;-1;0;6;3
0_c;9;0;0.8;0;1;0;1;2
0_i;44;1;0.8;-4;-1;0;1;8
2_c;55;0;0.8;-2;0;0;4;2
0_l;62;1;0.8;0;0;2;0;2
2_c;142;1;0.8;-1;1;2;1;1
2_i;62;0;0.8;-1;0;2;1;2
0_c;132;0;0.8;-2;0;2;2;2
0_c;136;0;0.8;0;2;0;0;2
0_c;8;1;0.8;0;0;2;0;2
1_RM;240;1;0.8;-1;0;1;3;1
0_FG;207;1;0.8;0;1;0;1;2
1_l;159;1;0.8;-2;-1;1;3;3
0_au;12;1;0.6;-1;1;1;1;1
0_ag;240;1;0.6;-2;1;5;0;-1
2_c;54;0;0.6;-3;-2;2;2;4
2_c;46;0;0.6;-2;1;1;1;2
0_c;247;1;0.6;0;2;0;1;0
1_cs;96;1;0.6;-2;2;0;1;2
1_i;56;0;0.6;0;2;0;0;1
0_l;224;1;0.6;0;1;0;1;1
1_i;253;1;0.6;0;1;1;1;0
0_c;251;1;0.6;-2;1;2;1;1
0_i;152;1;0.6;-2;-3;4;0;4
0_l;79;0;0.6;-4;-3;3;2;5
0_l;0;0;0.6;-3;1;2;3;0
2_p;191;1;0.6;-5;2;2;2;2
0_au;206;0;0.6;0;-1;2;1;1
1_cs;24;0;0.4;-1;1;1;1;0
1_i;48;0;0.4;0;1;0;1;0
0_ag;14;0;0.4;-1;-1;0;3;1
1_l;63;1;0.4;-3;-1;2;2;2
0_v;225;1;0.4;-4;0;1;4;1
2_c;158;0;0.4;-1;1;0;1;1
2_c;68;1;0.4;-5;-1;0;2;6
0_ag;254;0;0.4;-1;-1;2;1;1
0_c;16;1;0.4;0;1;0;1;0
0_c;99;0;0.4;0;1;0;1;0
0_c;240;0;0.4;0;1;0;1;0
2_c;220;0;0.4;0;1;1;0;0
2_c;231;1;0.4;-1;0;2;1;0
2_c;246;1;0.4;-2;0;0;1;3
2_i;28;1;0.4;-2;0;0;1;3
0_FG;195;1;0.4;-2;0;0;2;2
0_FG;208;0;0.4;-3;0;2;0;3
2_i;240;0;0.4;0;0;0;2;0
0_i;0;0;0.4;0;2;0;0;0
0_i;226;1;0.4;0;-3;2;1;2
0_au;112;1;0.2;-1;0;0;1;1
0_au;56;1;0.2;-1;-1;0;1;2
0_au;128;1;0.2;-1;1;0;1;0
1_al;0;1;0.2;-2;0;2;1;0
0_al;240;1;0.2;-2;-1;1;1;2
2_c;56;0;0.2;0;0;0;1;0
0_v;251;1;0.2;-2;0;0;1;2
1_c;142;1;0.2;-2;0;0;1;2
1_i;192;1;0.2;-1;-1;0;1;2
0_l;236;0;0.2;-2;-1;0;1;3
1_i;63;1;0.2;-1;-1;0;1;2
1_i;56;1;0.2;0;0;1;0;0
2_c;51;0;0.2;-3;-1;1;1;3
1_c;62;1;0.2;-1;-1;0;1;2
1_FG;4;1;0.2;-2;0;1;1;1
2_al;224;1;0.2;-2;0;1;0;2
1_FG;96;0;0.2;-4;-2;1;3;3
1_c;224;1;0.2;0;0;0;1;0
2_c;31;1;0.2;0;-1;0;1;1
2_c;35;1;0.2;-1;1;0;0;1
2_c;44;0;0.2;0;-1;0;1;1
2_c;134;1;0.2;-1;1;0;1;0
